"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc"
"CA","Lassen",49.067221,0.472456,0.996443,7.6,23.9,0.125988,17.1,54670
"CA","Los Angeles",6.341282,0.773078,1.019708,9.1,21.4,0.083525,16.7,59045
"CA","Madera",20.86425,0.342936,0.996443,7.9,26.5,0.045293,22.6,46593
"CA","Marin",11.960182,1.204219,1.122215,7.9,18.9,0.253116,7.5,99868
"CA","Mariposa",17.499407,0.735211,0.996443,10.7,24.4,0.113109,15.2,44595
"CA","Mendocino",17.366149,1.263244,1.122215,8.4,22.4,0.159328,20.3,43237
"CA","Merced",15.667935,0.345406,0.996443,9.2,29.5,0.060071,25.9,42879
"CA","Modoc",26.540262,0.886623,0.996443,10.4,23.2,0,20.3,38402
"CA","Mono",49.766962,2.643424,1.032918,7.4,22.8,0.142888,11.2,53992
"CA","Monterey",12.323159,0.867057,0.996443,7.6,22.3,0.05564,15.3,60047
"CA","Napa",10.140218,1.009409,1.122215,8.4,23.7,0.17647,10.1,72683
"CA","Nevada",27.033977,0.930298,1.032918,7.7,21.1,0.182015,12.4,57627
"CA","Orange",6.510167,0.858047,1.019708,8,19.7,0.113177,12.7,78002
"CA","Placer",15.560766,0.823258,1.032918,9,21.7,0.14259,8.6,76203
"CA","Plumas",8.10956,2.042352,1.032918,9.8,23,0.161238,13.8,46813
"CA","Riverside",19.996394,0.505738,1.019708,9,26,0.065256,16.2,57895
"CA","Sacramento",13.652828,0.653835,1.032918,8.4,27.4,0.087043,16.9,58735
"CA","San Benito",17.66935,0.583521,0.996443,7.6,23.3,0.034325,9.3,76521
"CA","San Bernardino",21.282984,0.4795,1.019708,9.2,27.9,0.053015,18.9,53526
"CA","San Diego",13.704943,0.757485,1.032918,7.7,19.1,0.109394,13.9,67053
"CA","San Francisco",0.555577,2.220609,1.122215,7.9,16.1,0.156017,12.4,90527
"CA","San Joaquin",12.64943,0.498884,1.032918,10.3,28.3,0.058692,17.5,53341
"CA","San Luis Obispo",15.678895,1.171694,0.996443,8.5,24.5,0.13616,14.4,61761
"CA","San Mateo",9.671995,1.026917,1.122215,8.3,21.1,0.145008,8.4,101133
"CA","Santa Barbara",13.587697,0.896366,0.996443,7.1,18.2,0.122541,15.6,63049
"CA","Santa Clara",7.460992,0.869838,1.122215,8.4,19.5,0.127731,8.3,102191
"CA","Santa Cruz",14.048826,0.974967,0.996443,7,20.2,0.139807,15.4,64841
"CA","Shasta",23.289943,0.667393,0.996443,9.4,26.5,0.088986,19,45943
"CA","Sierra",88.366566,0.999001,1.032918,9.6,22.5,0,13.8,47535
"CA","Siskiyou",19.798924,1.07729,0.996443,8.6,23.2,0.114605,22.6,37447
"CA","Solano",17.500834,0.556675,1.122215,9.8,30.1,0.095099,12,67202
"CA","Sonoma",15.436481,1.023402,1.122215,7.9,20.9,0.125926,11,66463
"CA","Stanislaus",11.744433,0.541356,1.032918,9.7,32.6,0.078948,19.5,51949
"CA","Sutter",33.309963,0.459065,1.032918,8.6,28.7,0.104333,17.5,50810
"CA","Tehama",20.081412,0.539109,0.996443,11.2,27.2,0.015856,22.5,40292
"CA","Trinity",17.338235,0.911162,0.996443,10.1,25.1,0.07593,19.7,37669
"CA","Tulare",13.496858,0.449587,0.996443,8,32.6,0.024007,27.2,42637
"CA","Tuolumne",29.094427,0.984563,1.032918,10.1,20.2,0.092883,14.5,53136
"CA","Ventura",15.889027,0.697253,0.996443,7.6,20.3,0.108724,9.9,79285
"CA","Yolo",6.162068,0.712944,1.032918,6.9,22.7,0.081892,17.5,58766
"CA","Yuba",20.780845,0.310954,1.032918,7.6,24.8,0.02704,21.6,46500
"CO","Adams",15.148383,0.46805,0.746075,7.2,26.3,0.062407,12.8,62991
"CO","Alamosa",5.925453,0.927242,0.940068,6.7,23,0.185448,24,40067
"CO","Arapahoe",12.147082,0.753045,0.746075,6.3,21.4,0.12443,9.2,67062
"CO","Archuleta",29.79892,2.041816,0.940068,5.9,16.5,0.081673,13.1,50361
"CO","Baca",25.21712,0.274348,0.940068,7.6,19.4,0,20.8,35405
"CO","Bent",25.862611,0.35524,0.940068,7,26.5,0,36.7,36630
"CO","Boulder",14.647696,1.101065,0.746075,4.1,13.4,0.201064,12.3,72392
"CO","Broomfield",29.785003,0.756381,0.746075,5.5,17.6,0.128746,4.9,86548
"CO","Chaffee",10.010793,2.232751,0.746075,6.4,20.5,0.217829,11.7,50947
"CO","Cheyenne",33.859055,1.068947,0.940068,6.5,23.7,0,11.7,50620
"CO","Clear Creek",13.893138,2.176989,0.746075,7.9,18.1,0.108849,9.6,67262
"CO","Conejos",5.617444,0.362976,0.940068,6,24.5,0,20.2,37102
"CO","Costilla",99.943451,1.121076,0.940068,8.3,21.9,0,28.2,27944
"CO","Crowley",7.890863,0.186567,0.940068,6,21.6,0,44.3,35405
"CO","Custer",25.885721,2.063747,0.940068,6.8,20.5,0,15.1,43995
"CO","Delta",8.440083,1.171744,0.940068,7.6,20.4,0.033478,15.8,42586
"CO","Denver",9.21032,1.23369,0.746075,6,16.4,0.15214,15.7,57886
"CO","Dolores",100,2.527806,0.940068,7.5,19.8,0,14.9,44829
"CO","Douglas",19.155186,0.60069,0.746075,5.3,17,0.123952,3.4,109926
"CO","Eagle",15.437566,2.4187,0.746075,3.3,11.8,0.207857,7.6,75191
"CO","El Paso",27.058268,0.593804,0.746075,7,22.3,0.102484,11,60050
"CO","Elbert",25.92968,0.537301,0.746075,5.2,19.6,0,5.9,90270
"CO","Fremont",34.528961,0.77416,0.940068,8.1,22.8,0.086018,17.2,41967
"CO","Garfield",15.310161,1.444458,0.940068,4.7,20,0.069612,10.3,64487
"CO","Gilpin",0,0.341822,0.746075,6.3,19.7,0,8,67389
"CO","Grand",2.842613,3.643613,0.746075,5.6,17.4,0.206242,8.3,59885
"CO","Gunnison",12.000079,3.116057,0.940068,4.6,14.8,0.127186,12.5,47619
"CO","Hinsdale",11.775975,7.633588,0.940068,6.6,20.5,0,10.9,58613
