"state","county","loaccgro","fasfoo","relprimilk","diab","obesrate","fitplace","povrate","medinc","males","totpop","area"
"SC","Lexington",24.28501,0.698123,1.082025,9.9,33.4,0.107957,13.2,55413,128134,262391,698.91
"SC","Marion",8.814353,0.407102,1.082025,17.2,39.9,0.031316,24.4,30528,15116,33062,489.23
"SC","Marlboro",15.824403,0.214869,1.082025,15.2,39.2,0.035812,28.2,32485,15260,28933,479.67
"SC","McCormick",3.225772,0.406256,1.082025,17.6,35.2,0,19.2,41589,5558,10233,359.13
"SC","Newberry",23.743529,0.767541,1.082025,15.7,35.5,0.026467,19.1,41120,18255,37508,630.04
"SC","Oconee",14.25264,0.625066,1.082025,12,28,0.066496,18,44819,36682,74273,626.33
"SC","Orangeburg",12.186639,0.532801,1.082025,15.1,41.9,0.0555,24,37651,43455,92501,1106.1
"SC","Pickens",28.004061,0.731091,1.082025,11.9,30.2,0.11631,18.1,44091,59553,119224,496.41
"SC","Richland",26.702241,0.679838,1.082025,11.1,32.6,0.087159,15.8,51065,187330,384504,757.07
"SC","Saluda",9.912683,0.399481,1.082025,13,35.6,0,18.3,41409,9989,19875,452.78
"SC","Spartanburg",31.535984,0.688147,1.082025,12.8,30.5,0.11242,15,45768,137769,284307,807.93
"SC","Sumter",25.301233,0.61157,1.082025,14.3,34.4,0.037065,19.6,41058,51732,107456,665.07
"SC","Union",9.11865,0.609844,1.082025,15.6,36.9,0.035873,23.2,35467,13780,28961,514.17
"SC","Williamsburg",7.134494,0.367029,1.082025,17.5,42.5,0.030586,33.6,28943,16734,34423,934.16
"SC","York",22.092621,0.635837,1.062503,12,29.4,0.110049,12.5,57302,109092,226073,680.6
"SD","Aurora",74.400225,1.457195,0.948594,8.7,28,0,9.6,50392,1381,2710,708.43
"SD","Beadle",22.619615,0.495349,0.948594,9.4,32,0.165116,15.5,47592,8755,17398,1258.71
"SD","Bennett",96.759057,0,0.948594,14.6,36.6,0,35.1,40529,1684,3431,1184.71
"SD","Bon Homme",14.116695,0.427168,0.948594,9.4,29.6,0,14.6,48900,4129,7070,563.7
"SD","Brookings",39.62238,0.900522,0.948594,6.1,27.4,0.150087,14.5,55749,16382,31965,792.21
"SD","Brown",31.128554,0.755051,0.948594,8.4,32.2,0.104145,10.2,52065,17795,36531,1712.98
"SD","Brule",31.377098,0.753438,0.948594,10.1,34.4,0.188359,12.7,50604,2553,5255,817.24
"SD","Buffalo",99.72169,0,0.948594,16.2,42,0,36.8,22894,937,1912,471.38
"SD","Butte",24.081687,1.068169,0.948594,8.4,31.3,0.097106,13.9,43572,5086,10110,2249.9
"SD","Campbell",93.355145,4.329004,0.948594,9.9,30.9,0,9.5,49569,744,1466,733.68
"SD","Charles Mix",10.03627,0.538387,0.948594,11.7,33.6,0.107677,23.3,41005,4517,9129,1097.49
"SD","Clark",46.279312,0.548697,0.948594,10.4,30.6,0,12.6,60544,1854,3691,957.6
"SD","Clay",29.646989,0.861326,0.948594,7.7,31.1,0.071777,19,43902,6740,13864,412.19
"SD","Codington",36.412218,1.324361,0.948594,8.3,31.2,0.214761,10.8,53073,13570,27227,688.5
"SD","Corson",89.786884,0.47824,0.948594,13.3,40.9,0,47.4,31621,2067,4050,2469.69
"SD","Custer",35.341786,2.368265,0.948594,10.7,29.7,0.118413,10.7,54309,4150,8216,1557
"SD","Davison",23.770787,1.005783,0.948594,9.4,34.3,0.150867,13.4,47591,9656,19504,435.56
"SD","Day",48.87603,1.252684,0.948594,11.2,30.8,0,14.2,45131,2867,5710,1027.87
"SD","Deuel",90.276642,1.159555,0.948594,10.8,33.3,0,10,54087,2250,4364,622.69
"SD","Dewey",38.39034,0.176616,0.948594,15.6,39.9,0,24.7,38337,2601,5301,2302.49
"SD","Douglas",89.11335,1.345442,0.948594,11,29.8,0,10.4,51915,1505,3002,431.8
"SD","Edmunds",63.660418,1.255335,0.948594,9,29.1,0,10.7,56304,2069,4071,1125.96
"SD","Fall River",37.206737,1.46092,0.948594,11.2,31.7,0.146092,14.6,44065,3603,7094,1739.92
"SD","Faulk",48.219847,2.121341,0.948594,9.8,29.3,0,12.9,47802,1170,2364,981.75
"SD","Grant",17.815503,1.381025,0.948594,8.3,30.6,0.138102,9.2,51251,3740,7356,681.46
"SD","Gregory",28.410584,2.371354,0.948594,10.4,32.2,0,18.1,36150,2149,4271,1014.96
"SD","Haakon",41.326846,1.082837,0.948594,10.3,30.1,0,10.8,50221,980,1937,1810.53
"SD","Hamlin",96.074602,0,0.948594,9.7,30.8,0,9,57278,2950,5903,507.23
"SD","Hand",34.307454,0.597907,0.948594,10.5,29.9,0.298954,8.5,52718,1701,3431,1436.61
"SD","Hanson",17.876082,0.292483,0.948594,8.3,28.9,0.292483,8.7,59508,1669,3331,434.51
"SD","Harding",100,0.8,0.948594,8.1,32.4,0,10.2,57053,659,1255,2671.38
"SD","Hughes",23.406376,0.850244,0.948594,9.5,28.3,0.170049,10.8,60582,8281,17022,741.56
"SD","Hutchinson",8.841225,0.694444,0.948594,10.5,31,0,12.3,49558,3575,7343,812.9
"SD","Hyde",100,0,0.948594,10.5,30.5,0,11.1,49820,739,1420,860.52
"SD","Jackson",63.00264,0.91631,0.948594,11.2,34.8,0,32.5,36308,1527,3031,1863.91
"SD","Jerauld",100,1.494768,0.948594,9.9,27.8,0,13.7,49054,1007,2071,526.23
"SD","Jones",100,4.102564,0.948594,10.9,29.3,0,13.5,47362,498,1006,969.68
"SD","Kingsbury",52.243041,0.788177,0.948594,10,33.8,0,9.5,54543,2610,5148,832.24
"SD","Lake",9.969145,1.131953,0.948594,8.6,31.3,0.080854,10.1,55300,5693,11200,563.28
"SD","Lawrence",16.021082,1.257249,0.948594,7.3,25.7,0.202782,12.9,51553,11935,24097,800.04
"SD","Lincoln",9.03312,0.387988,0.948594,6.6,28.7,0.135796,4.3,77540,22193,44828,577.28
"SD","Lyman",83.589712,0.515863,0.948594,10.4,33.5,0,22.7,39527,1966,3755,1641.94
"SD","Marshall",50.402048,1.067692,0.948594,9.6,32.2,0,12.3,50216,2520,4656,838.07
"SD","McCook",32.399501,1.239157,0.948594,9,28.5,0,9.5,56382,2810,5618,574.2
"SD","McPherson",55.714203,1.646768,0.948594,11.8,27.3,0,15.7,43859,1202,2459,1136.64
"SD","Meade",33.937611,0.779192,0.948594,8.4,27,0.148417,9.9,55515,12961,25434,3470.98
"SD","Mellette",99.40226,0,0.948594,13.2,32.4,0,35.6,34241,1048,2048,1307.31
"SD","Miner",38.127507,0.863558,0.948594,10.6,31.4,0,10.8,47970,1207,2389,570.31
"SD","Minnehaha",18.467742,0.672565,0.948594,7.9,27.8,0.153104,12.2,55605,84537,169468,807.15
"SD","Moody",76.723439,0.942359,0.948594,11,32.9,0,10.7,54729,3248,6486,519.39
"SD","Pennington",28.702474,0.89614,0.948594,8.4,27.3,0.12934,12.2,52217,50306,100948,2776.55
"SD","Perkins",49.321354,1.318826,0.948594,10.1,32.8,0,13.1,44132,1498,2982,2870.48
"SD","Potter",100,1.709402,0.948594,11,29.2,0,10,54655,1154,2329,861.14
"SD","Roberts",27.09639,0.674764,0.948594,12,32,0,20,42744,5098,10149,1101.04
"SD","Sanborn",98.871764,0.856164,0.948594,10.2,29.7,0,11.9,49638,1220,2355,569.32
"SD","Spink",43.597228,0.454683,0.948594,9.9,31.4,0.151561,12.1,46504,3227,6415,1503.93
"SD","Stanley",19.245428,1.340932,0.948594,9.8,33.4,0,8.3,62015,1483,2966,1444.43
"SD","Sully",100,3.477051,0.948594,9.3,33.1,0,6.9,58230,742,1373,1006.82
"SD","Todd",20.706288,0.101194,0.948594,18.2,38,0,44,29193,4723,9612,1388.56
"SD","Tripp",26.760835,0.907112,0.948594,10.7,30.7,0.181422,17.7,48289,2781,5644,1612.45
"SD","Turner",2.287665,1.329787,0.948594,8.4,32.9,0,10,54134,4191,8347,617.06
"SD","Union",20.050328,0.598842,0.948594,9.2,30.4,0,6.3,74439,7218,14399,460.54
